id,url,Property description
0,https://www.rightmove.co.uk/properties/121466876#/?channel=RES_BUY,"Located in a quiet turning is this large extended three bedroom 1930's home with space and natural light in abundance. On entry to this property, once you are through the porch, you are greeted by a large hallway with coving throughout leading on to a separate reception room, which the owners had separated from the original through lounge during their tenure.  A second sperate room offers the current owners a play room, whilst a large rear extension creates the open plan kitchen/diner, suitable for a large family or for when guests pop over to visit. To the first floor there are three bedrooms and a large family bathroom, whilst outdoor space includes a garden measuring in excess of 80 feet!! Located within a short walk of a number of local shops, whilst also being within a stone throw of Morrisons and Sainsburys, puts this home in a fantastic position for the new owners to enjoy. Our vendors have been at this property for over 30 years, and will truly miss the neighbours and the sense of community, demonstrating that this would make another family happy for many years. Call us today to arrange your viewing."
1,https://www.rightmove.co.uk/properties/121001903#/?channel=RES_BUY,"A characterful six bedroom double-fronted Victorian semi-detached house positioned on a popular tree-lined residential road. This generously proportioned (2295 sq ft / 213.2 sq m) property is arranged over three levels and has been improved and upgraded by the current owner to offer an ideal long-term opportunity for a young or growing family. A welcoming entrance hall leads to two sizeable reception rooms and a study which boast original period features such as fireplaces, coving, and sash windows. The rear reception has solid oak flooring, a working fireplace and French doors to the garden.  The remainder of the ground floor comprises of a WC, a modern kitchen with plenty of storage and a 17ft conservatory / breakfast room with under floor heating. This space provides a quiet sanctuary to enjoy sunny days and wildlife overlooking the garden. The first floor is made up of three bedrooms (with a complete wall of fitted wardrobes to the master), a family bathroom, and a separate shower room / dressing room. A large arched window floods the stairwell with light and leads to the top floor which houses three further bedrooms and includes eaves storage and exposed brickwork. Externally there is a mature walled rear garden with fruit trees, a patio seating area and sunny southerly aspect. Also, a 33ft detached tandem garage which could be perfect for a workshop, studio, or home office. This location offers access to nearby rail links such as Birkbeck, Anerley, and Norwood Junction (fast to London Bridge), as well as handy amenities and proximity to the popular Stuart Fleming Primary school. A viewing of this well cared-for property is essential to appreciate the accommodation.  EPC: E | Council Tax Band F"
2,https://www.rightmove.co.uk/properties/118894472#/?channel=RES_BUY,"*** Guide Price £1,000,000 - £1,200,000 ***What a stunning looking property! A rarely available Victorian double fronted home with four double bedrooms, three reception rooms, and two bathrooms.This well-proportioned home of circa 1450 Sq Ft. features stripped and polished floorboards and a lovely wide stairway leading up to a nice big landing area.The Zone 2 location will please the busy commuter with the choice of Brockley Overground or Nunhead Station for City Thameslink.For those thinking of schools, the choice nearby according to Ofsted is Outstanding.The home is offered chain free.What The Seller Says -""I fell in love with the house, for its handsome proportions, being symmetrically double-fronted with four bay windows. Furthermore, the large bright and airy landing gives me easy access to the bedrooms and study, while the secluded garden, with its multiple French doors, affords privacy. Location-wise, I chose Aspinall Road, in Telegraph Hill ward, for three reasons: The fact it is a quiet tree-lined road, Its close proximity to large open green spaces; Telegraph Hill upper park with tennis courts, and Nunhead Cemetery, one of the Magnificent Seven woodland Victorian cemeteries only a stone's through away.It also has great transport links, with very easy access to both Canary Wharf, London Bridge & the City, as well as Victoria & Belgravia."""
3,https://www.rightmove.co.uk/properties/119380913#/?channel=RES_BUY,"A BRIGHT, SPACIOUS & LUXURY 4 BEDROOM & 2 BATHROOM SEMI-DETACHED HOUSE WITH 29' THROUGH LOUNGE, 23' LUXURY FITTED KITCHEN, UTILITY ROOM & DOWNSTAIRS CLOAKROOM.  Both Bathrooms Can be Independently Accessed, but 1 could be Incorporated as an EN SUITE.There is a LARGE INTEGRAL GARAGE  (18' X 10'10) that could quite easily be converted and incorporated within the Main Property, thereby making it even more Spacious & Double-Fronted - Subject to Usual Consents.  The Loft is also intact and can be converted.This Property Enjoys a Large, Level & Well Maintained REAR GARDEN and has PAVED OFF STREET PARKING TO THE FRONT FOR 3 CARS.Situated at the Top End of South Lodge Drive - nearest to Bramley Road with Shops, Buses and other Local Facilities Virtually on Your Doorstep and within Walking Distance of Oakwood Tube Station (Picc. Line).  Also Very Close to Trent Park for Walks, Green Belt Countryside, Golf Club & Restaurant, & Equestrian Centre.A Comfortable & Luxury Family Home Worthy of an Internal Viewing.Entrance Hall: - Approached via a Double Glazed Entrance Porch, Inner Part Glazed Door, Double Radiator, Cornicing.  Amtico Wood Effect Flooring.Through Lounge: - 9.60m x 3.89m (31'6 x 12'9) - Bright & Spacious with Double Glazed Window to Front with Shutters, Double Glazed French Doors to a Paved Patio Area & Rear Garden.  Amtico Wood Effect Flooring, Cornicing, Radiator plus a Vertical Radiator. Cornicing.Lounge Area: To Rear - Dining Area: To Front - Also Showing Custom Made Fitted Units into Alcoves with Bookshelves & Storage.Luxury Fitted Kitchen/Diner: Pic. 1 - 7.21m x 3.66m (23'8 x 12) - A COOK'S DREAM!  Ample Floor & Wall Units, Single Drainer Stainless Steel Inset Sink with Mixer Taps, Gas Hob, Built Under Oven, Integrated Appliances.  Double Glazed Window to Side. Ample Dining Area, Double Glazed French Doors to Garden.  Spotlights.Luxury Fitted Kitchen/Diner: Pic. 2 - Different Aspect.   Door to UTILITY ROOM, Leading also to the DOWNSTAIRS CLOAKROOM & GARAGE.Downstairs Cloakroom: - Luxury Downstairs Cloakroom with Low Flush WC., Large Wash Hand Basin with Mixer Taps and Cupboard Beneath, Fully Tiled Walls, Chrome Heated Towel Rail.Bedroom 1: - 4.72m x 3.33m (15'6 x 10'11) - Double Glazed Bay Window, Radiator.  DRESSING AREA.Bathroom 1: Poss. En Suite - Note:  This could be used as an En Suite to Bedroom 1, or can be used as the Family Bathroom.Bedroom 2: - 4.11m x 3.25m (13'6 x 10'8) - Double Glazed Window to Front with Shutters, Radiator, Cornicing.Large Bathroom 2: Possible En Suite - 3.28m x 3.12m (10'9 x 10'3) - Note:  Very Large Bathroom that could be used as an En Suite to Bedroom 2, or used as a Family Bathroom.Bedroom 3: - 4.11m x 3.25m (13'6 x 10'8) - Double Glazed Bay Window with Shutters, Fitted Wardrobes, Radiator. Cornicing.Bedroom 4: - 3.20m x 2.18m (10'6 x 7'2) - Double Glazed Window to Front, Radiator, Cornicing. Shutters.Rear Garden: - Beautifully Maintained, Mainly Laid to Lawn and Not Overlooked. Mature Trees & Shrubs. Large Paved Patio Area.Rear Elevation Of Property: - Integral Garage With Own Drive: - 5.49m x 3.30m (18' x 10'10) - Also Accessible from the Interior.  Automatic Up and Over Doors."
5,https://www.rightmove.co.uk/properties/120926936#/?channel=RES_BUY,"SUMMARYSpacious and imposing five bedroom semi-detached house in a sought after location close to Merryhills Primary School, Highlands Secondary School and Enfield Chase Station, three reception rooms, kitchen, downstairs WC, first floor bathroom, extra WC, large South facing garden and off-street parking.DESCRIPTIONBarnfields are delighted to offer for sale this spacious and imposing, five bedroom double fronted semi-detached family house in a most sought after location, within walking distance of Enfield Chase Station and a short bus ride from Oakwood Tube Station, as well as being in close proximity of both Highlands Secondary School and Merryhills Primary School.  The property benefits from a large Southerly facing rear garden and ample off-street parking to the front.Hallway  Fitted carpet, understairs cupboard, radiator.Through Lounge  29' 1"" x 14' 8"" at widest ( 8.86m x 4.47m at widest )Fitted carpet, bay window to front, radiator, fitted gas fire with brick surround, windows and door to rear, wooden beams to ceiling.Dining Room  16' 9"" x 11' 1"" ( 5.11m x 3.38m )Fitted carpet, radiator, double glazed windows and door to garden.Front Snug  11' 4"" x 11' 3"" ( 3.45m x 3.43m )Fitted carpet, bay window to front, two radiators, wooden beams to ceiling.Kitchen 19' 9"" x 9' 6"" at widest ( 6.02m x 2.90m at widest )Fitted base units with toning worktops, sink and drainer, plumbing for washing machine, range of built in larder cupboards, space for oven and fridge/freezer, windows to side, door to rear opening to garden, door to:-Wc Low level WC and hand basin.First Floor  Landing Fitted carpet, loft hatch opening to loft storage space, lobby area to bedroom four, two double glazed windows to side.Bedroom One 16' 3"" x 11' 4"" ( 4.95m x 3.45m )Fitted carpet, range of fitted wardrobes and drawers, radiator, double glazed windows and door to balcony.Bedroom Two 13' 11"" x 10' 10"" ( 4.24m x 3.30m )Fitted carpet, range of fitted wardrobes, radiator, double glazed windows to front.Bedroom Three 11' 5"" x 8' 1"" ( 3.48m x 2.46m )Fitted carpet, two radiators, double glazed windows to rear.Bedroom Four 12' 6"" x 9' 5"" ( 3.81m x 2.87m )Fitted carpet, two radiators, double glazed windows to rear.Bedroom Five 10' 6"" x 10' 7"" ( 3.20m x 3.23m )Fitted carpet, built-in desk, double glazed windows to front, radiator.Bathroom  Panelled bath, pedestal wash hand basin, low level WC, built-in cupboard, radiator, double glazed window to front.Additional WC Low level WC, radiator, double glazed window to side.Rear Garden A large 100ft+ South facing rear garden with front patio, central lawn, side pathways and well established tree and shrub borders, side access gate.Off-Street Parking  Parking to front for three cars.1. MONEY LAUNDERING REGULATIONS: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.5. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER SEQUENCE (UK) LIMITED NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY."
6,https://www.rightmove.co.uk/properties/121728809#/?channel=RES_BUY,"Located within a quiet cul-de-sac moments from Caledonian Road Underground Station and adjacent to Caledonian Park, measuring approximately 1658 SqFt is this exceptional six bedroom, three bathroom end-of-terrace Freehold house with driveway.Newly refurbished throughout, this wonderful light filled modernistic house spanning four floors provides functionality and flexible living space.  The ground floor comprises of modern open-plan kitchen / dining room ideal for entertaining, further living room and cloakroom W.C.  The first and second floors provide four bedrooms, fully tiled family bathroom and further shower room.  Ascending to the third floor there are two further double bedrooms and shower room built into the extension.  This spacious family home further benefits from built in storage, double glazed windows and private rear garden which includes a storage room or possible home office space.  Manger Road is situated in a popular area of North London with the impact of Kings Cross/St Pancras International being seen the whole way along Caledonian Road. Popular Upper Street is within easy reach offering a range of boutique shops, restaurants and entertainment facilities. Transport links moments from the property include Caledonian Road Underground Station which is just 5 minutes’ walk (Google), Caledonian Road & Barnsbury Overground Station and range of buses some of which operate 24hrs a day."
9,https://www.rightmove.co.uk/properties/115206185#/?channel=RES_BUY,"SUMMARYA wonderful 3/4 bedroom extended semi-detached house. The property offers hallway with plenty of storage and  a spacious living area which could be used as a 4th bedroom, shower room & spacious open plan Italian Designed Doimo Kitchen which extends to an additional living area with bi-folding doors.DESCRIPTIONThe first floor boasts three good-sized bedrooms, a luxury en-suite to the master bedroom and a modern bathroom. Further benefits include off street parking for several vehicles, secluded outlook over the rear garden measuring at approximately 76' x 35'.  This home is perfect for the growing family looking to be close to well-regarded schools, open spaces and conveniently located 0.5 miles from Oakleigh Park Mainline Station for anyone looking to commute into the city.Reception Room 19' 8"" x 15' 10"" into bay ( 5.99m x 4.83m into bay )Kitchen / Reception Room 26' 7"" x 26' 3"" ( 8.10m x 8.00m )Shower Room Bedroom 16' 5"" into bay x 11' 4"" ( 5.00m into bay x 3.45m )Bedroom 14' 11"" x 12' 9"" ( 4.55m x 3.89m )En-Suite Bedroom 11' 5"" x 8' 7"" ( 3.48m x 2.62m )Bathroom 1. MONEY LAUNDERING REGULATIONS: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.5. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER SEQUENCE (UK) LIMITED NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY."
10,https://www.rightmove.co.uk/properties/122428355#/?channel=RES_BUY,"Truly beautiful four bedroom modern townhouse in this gated development enviably located between East Dulwich, Forest Hill and Dulwich Village. Highwood Close boasts over 1660 Sq Ft of internal space which has been lovingly modernised and maintained by the current owners ? who have converted the garage into a ground-floor study or additional bedroom. There is a 16-ft kitchen-diner that leads through a beautifully bright conservatory onto a landscaped garden which backs onto Sydenham Woods and Cox?s Walk. There is a bright 16-ft first-floor reception room which is amazingly peaceful with a green view across the cricket pitches and beyond towards Dulwich Park. There are three good-sized double bedrooms and a large study as well as a four-piece family bathroom and an en suite to the master bedroom. The 2006 development offers a variety of transport options into The City and West End from Forest Hill station (0.7 miles), West Dulwich station (1.3 miles) and East Dulwich station (1.7 miles) as well as a choice of excellent local private and state primary and secondary schools. EPC Rating: C / Freehold / Council Tax Band: E"
11,https://www.rightmove.co.uk/properties/90109468#/?channel=RES_BUY,"SUMMARYCecil Road is situated on a residential street which is within close proximity to North Acton playing fields, local schools and easy access to West & East Acton tube, Acton Mainline and the A40.DESCRIPTIONThis spacious well-presented semi-detached family house situated in cul-de-sac is offering circa 1720 sq. ft. of living space and has further potential to add more space into the loft (STPP). The ground floor offers a porch, a bright & airy  front reception room with a fireplace and bay windows, a second reception/dining room, a 20' kitchen/breakfast room with access to the rear garden, a utility room and a WC. Whilst the upper floor offers a front 17' master bedroom with built in wardrobes, three further bedrooms, a family bathroom and an en-suite. Other benefits include an outside storage, potential to extend and off street parking. Ealing Broadway/Common and Shepherds Bush is also within easy access offering a variety of transport links, amenities, super markets, the popular Westfield's shopping centre and array of restaurants, bars and cafes.1. MONEY LAUNDERING REGULATIONS: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.5. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER SEQUENCE (UK) LIMITED NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY."
12,https://www.rightmove.co.uk/properties/121245713#/?channel=RES_BUY,"SUMMARYA well-presented five bedroom house set over three floors with an internal area of  circa 1781 sq. ft / 165 sq. m. with a sunny private rear garden.DESCRIPTIONOn the ground floor the property comprises a reception room, utility room, WC and a fitted kitchen with french door leading out to the garden.The first floor has three bedrooms with one bathroom, one en-suite and on the second floor there are additional two bedrooms with one en-suite and a Juliet balcony.Conveniently located in close proximity to local shops, bars/cafes, and restaurants. Only a short walk from Harlesden Station (Bakerloo Line & London Overground) and numerous alternative transport facilities. Access to the M1, M40, A406, A1 are all close by as are Wembley Stadium, Arena and the new London Designer Outlet.1. MONEY LAUNDERING REGULATIONS: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.5. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER SEQUENCE (UK) LIMITED NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY."
